Gen	theta_7OLMXRB	theta_8LMXRB	theta_9LM	theta_10XRB	theta_11RB	tau_7OLMXRB	tau_8LMXRB	tau_9LM	tau_10XRB	tau_11RB	lnL
474900	0.010216	0.00065833	0.0031836	0.0009036	0.0016588	0.0012315	0.00074761	5.5021e-05	0.00044297	8.4131e-05	-15982436.336
474930	0.010323	0.000669	0.0032533	0.00089584	0.0019056	0.0012358	0.00074395	5.7066e-05	0.00044604	7.1434e-05	-15982152.444
474960	0.010288	0.00064954	0.0031571	0.00084392	0.0021233	0.0012236	0.0007442	5.6239e-05	0.00045024	7.3774e-05	-15982322.906
474990	0.010277	0.00064393	0.0032296	0.0008162	0.0021879	0.0012175	0.00074136	5.3729e-05	0.00046576	6.4447e-05	-15982207.363
475020	0.010267	0.00062325	0.0031529	0.00075537	0.002598	0.0012105	0.00075132	5.0784e-05	0.00048516	5.4209e-05	-15982370.439
475050	0.010399	0.00061911	0.0032049	0.0007143	0.0024724	0.0012085	0.0007541	4.9312e-05	0.00049508	5.3482e-05	-15982383.031
475080	0.01032	0.00062506	0.0033251	0.00069981	0.0024897	0.0012111	0.00075061	4.8163e-05	0.00050063	5.1401e-05	-15982115.315
475110	0.010445	0.00063378	0.0035041	0.00074183	0.0023315	0.0012165	0.00074755	4.5726e-05	0.00047691	5.719e-05	-15982170.661
475140	0.010306	0.00062068	0.0033667	0.00070595	0.00258	0.0012044	0.00075168	4.5376e-05	0.00049351	5.4095e-05	-15982233.836
475170	0.010342	0.00060179	0.0034269	0.00066618	0.002204	0.0011944	0.00075484	4.4774e-05	0.00050918	6.2206e-05	-15982624.894
475200	0.010343	0.00062035	0.0032818	0.00068182	0.0022315	0.0012113	0.00075861	4.5572e-05	0.0005154	6.2637e-05	-15982088.815
475230	0.010404	0.00061223	0.0032606	0.00066761	0.0025557	0.0011969	0.00074808	4.4365e-05	0.00051227	5.5724e-05	-15982062.422
475260	0.010445	0.0006287	0.0033085	0.00069751	0.0023118	0.0012078	0.00074716	4.493e-05	0.00050288	5.8262e-05	-15982321.638
